year,month,trades,stocks,total_deployed
2016,12,2,"JSWENERGY, JUBLFOOD",9744
2017,1,1,GANESHHOU,10718
2017,3,1,ECLERX,21436
2017,4,1,FSL,10718
2017,5,1,ECLERX,10718
2017,6,1,MCX,10718
2017,7,1,ECLERX,10718
2017,8,1,MAYURUNIQ,10718
2017,9,1,SHILPAMED,10718
2017,10,1,SHILPAMED,10718
2017,11,1,TARIL,10718
2017,12,1,MCX,10718
2018,1,1,MAHABANK,11790
2018,2,1,MCX,11790
2018,3,1,SHILPAMED,11790
2018,4,2,"ARROWGREEN, MAHABANK",11790
2018,5,2,"BSE, INDIANCARD",11790
2018,6,1,FIEMIND,11790
2018,7,1,KITEX,11790
2018,8,1,INDIANCARD,11790
2018,9,1,RKFORGE,11790
2018,10,2,"ECLERX, SHAKTIPUMP",11790
2018,11,1,GANESHHOU,11790
2018,12,2,"GANESHHOU, JSWENERGY",11790
2019,1,1,RKFORGE,12969
2019,2,1,BLS,12969
2019,3,1,FSL,12969
2019,4,1,JINDRILL,12969
2019,5,1,FSL,12969
2019,6,2,"MAHSEAMLES, SUZLON",12969
2019,7,1,SKMEGGPROD,12969
2019,8,1,GENUSPOWER,12969
2019,9,2,"BIRLAMONEY, MAHABANK",12969
2019,10,1,TARIL,12969
2019,11,2,"KARURVYSYA, SUNFLAG",12969
2019,12,1,JINDRILL,12969
2020,1,1,AMJLAND,14266
2020,2,1,RANEHOLDIN,14266
2020,3,1,SKMEGGPROD,14266
2020,4,1,V2RETAIL,14266
2020,5,1,PERSISTENT,14266
2020,6,2,"MAHABANK, TARIL",14266
2020,7,1,SHAKTIPUMP,14266
2020,8,1,MAYURUNIQ,14266
2020,10,15,"ADANIPOWER, ELECON, GANESHHOU, INDIANCARD, INDOTECH, JINDRILL, KARURVYSYA, KITEX, MAHABANK, MAHSEAMLES, MOTILALOFS, RANEHOLDIN, SHILPAMED, TAJGVK, V2RETAIL",28531
2020,12,2,"SHILPAMED, TAJGVK",28531
2021,2,1,KRBL,31384
2021,3,1,KRBL,15692
2021,4,2,"GOLDBEES, SHILPAMED",15692
2021,5,1,KITEX,15692
2021,6,1,KRBL,15692
2021,7,1,KITEX,15692
2021,9,4,"GOLDBEES, KARURVYSYA, MAHABANK, RANEHOLDIN",31384
2021,12,7,"KARURVYSYA, MAHABANK, RANEHOLDIN, SHAKTIPUMP, SKMEGGPROD, SUNFLAG, TAJGVK",47076
2022,1,1,CHOLAFIN,17261
2022,2,1,TASTYBITE,17261
2022,3,2,"FSL, KRBL",17261
2022,4,1,GEOJITFSL,17261
2022,5,2,"AMJLAND, MAYURUNIQ",17261
2022,6,3,"ACE, FSL, SHAKTIPUMP",17261
2022,7,4,"BIRLAMONEY, MOTILALOFS, OBEROIRLTY, SKMEGGPROD",17261
2022,8,2,"ARROWGREEN, JUBLFOOD",17261
2022,9,1,GEOJITFSL,17261
2022,10,1,GOLDBEES,17261
2022,12,2,"KITEX, SHILPAMED",34523
2023,1,1,ECLERX,18987
2023,2,1,SHILPAMED,18987
2023,3,2,"ADANIPOWER, JUBLFOOD",18988
2023,4,2,"BSE, EPIGRAL",18988
2023,5,1,EPIGRAL,18987
2023,6,2,"AMJLAND, BIRLAMONEY",18988
2023,8,2,"EPIGRAL, INDIANCARD",37975
2023,10,1,HDFCBANK,37975
2023,11,1,HDFCBANK,18987
2023,12,1,AETHER,18987
2024,1,1,CGCL,20886
2024,2,1,MOTILALOFS,20886
2024,3,1,BAJFINANCE,20886
2024,4,1,SBCL,20886
2024,5,1,RSYSTEMS,20886
2024,6,1,BAJFINANCE,20886
2024,7,2,"INTLCONV, TASTYBITE",20886
2024,8,1,TASTYBITE,20886
2024,10,1,GATEWAY,41772
2024,11,1,MAHABANK,20886
2024,12,1,GATEWAY,20886
2025,1,1,RRKABEL,22975
2025,2,1,MAHABANK,22975
2025,3,1,RKFORGE,22975
2025,4,3,"MAHABANK, RSYSTEMS, SHILPAMED",22975
2025,5,1,AETHER,22975
2025,6,1,HOMEFIRST,22975
2025,7,1,MAHABANK,22975
2025,8,1,ACE,22975
2025,9,1,ANUP,22975
2025,10,1,ACE,22975
2025,11,1,ANUP,22975
2025,12,1,EPIGRAL,22975
2026,1,1,KAYNES,25272
2026,2,2,"INDIASHLTR, PREMIERENE",25272
2026,3,1,JINDRILL,25272
2026,4,1,TAJGVK,25272
